Timestamp,Value,Status,Notes
2020-01-16 06:15:00,108,2,
2020-01-16 06:30:00,104,2,
2020-01-16 06:45:00,115,2,
2020-01-16 07:00:00,103,2,
2020-01-16 07:15:00,113,2,
2020-01-16 07:30:00,107,2,
2020-01-16 07:45:00,112,2,
2020-01-16 08:00:00,105,2,
2020-01-16 08:15:00,113,2,
2020-01-16 09:00:00,327,513,System was unable to calculate the previous 2 values due to gap | System detected a catch-up spike.
2020-01-16 11:00:00,867,513,System was unable to calculate the previous 7 values due to gap | System detected a catch-up spike.
2020-01-16 11:15:00,98,2,
2020-01-16 11:30:00,107,2,
2020-01-16 11:45:00,103,2,
2020-01-16 12:00:00,114,2,
2020-01-16 12:15:00,98,2,
2020-01-16 12:30:00,112,2,
2020-01-16 12:45:00,104,2,
2020-01-16 15:00:00,970,513,System was unable to calculate the previous 8 values due to gap | System detected a catch-up spike.
2020-01-16 15:15:00,107,2,
2020-01-16 15:30:00,106,2,
2020-01-16 15:45:00,112,2,
2020-01-16 16:00:00,8,2,
2020-01-16 16:15:00,100,2,
2020-01-16 16:30:00,100,2,
2020-01-16 16:45:00,100,2,
2020-01-16 17:00:00,100,2,
2020-01-16 17:15:00,100,2,
2020-01-16 17:30:00,100,2,
2020-01-16 17:45:00,100,2,
2020-01-16 18:00:00,100,2,
2020-01-16 18:15:00,100,2,
2020-01-16 21:30:00,1300,513,System was unable to calculate the previous 10 values due to Dip(s) | System detected a catch-up spike.
2020-01-16 21:45:00,100,2,
2020-01-16 22:00:00,100,2,
2020-01-16 22:15:00,100,2,
2020-01-16 22:30:00,100,2,
2020-01-16 22:45:00,100,2,
2020-01-16 23:00:00,100,2,
2020-01-16 23:15:00,100,2,
2020-01-16 23:30:00,100,2,
2020-01-16 23:45:00,200,2,
2020-01-17 00:00:00,100,2,
2020-01-17 00:15:00,100,2,
2020-01-17 00:30:00,100,2,
2020-01-17 00:45:00,100,2,
2020-01-17 01:00:00,0,513,System detected a zero value representing a gap.
2020-01-17 01:15:00,0,513,System detected a zero value representing a gap.
2020-01-17 01:30:00,0,513,System detected a zero value representing a gap.
2020-01-17 01:45:00,0,513,System detected a zero value representing a gap.
2020-01-17 02:00:00,0,513,System detected a zero value representing a gap.
2020-01-17 02:15:00,0,513,System detected a zero value representing a gap.
2020-01-17 02:30:00,0,513,System detected a zero value representing a gap.
2020-01-17 02:45:00,0,513,System detected a zero value representing a gap.
2020-01-17 08:00:00,2700,513,System was unable to calculate the previous 20 values due to Dip(s) | System detected a catch-up spike.
2020-01-17 08:15:00,100,2,
2020-01-17 08:30:00,100,2,
2020-01-17 08:45:00,100,2,
